id,fecha_venta,producto,cantidad,precio
1,2025-12-09,Laptop Pro,1,850000
2,2025-03-24,Mouse Inalámbrico,2,15000
3,2025-02-19,Laptop Pro,5,850000
4,2025-01-03,"Monitor 24""",1,320000
5,2025-09-20,Mouse Inalámbrico,2,15000
6,2025-04-23,Laptop Pro,5,850000
7,2025-04-15,Webcam HD,4,38000
8,2025-01-25,Webcam HD,3,38000
9,2025-06-09,Mouse Inalámbrico,4,15000
10,2025-06-04,Mouse Inalámbrico,2,15000
11,2025-02-12,Laptop Pro,4,850000
12,2025-05-26,Teclado Mecánico,5,45000
13,2025-09-04,Laptop Pro,4,850000
14,2025-09-10,"Monitor 24""",1,320000
15,2025-10-07,Webcam HD,3,38000
16,2025-11-08,Laptop Pro,1,850000
17,2025-04-28,Teclado Mecánico,1,45000
18,2025-05-15,Laptop Pro,4,850000
19,2025-06-12,Teclado Mecánico,2,45000
20,2025-12-22,Mouse Inalámbrico,3,15000
21,2025-11-06,Laptop Pro,5,850000
22,2025-03-15,Webcam HD,2,38000
23,2025-11-23,"Monitor 24""",3,320000
24,2025-11-11,Webcam HD,2,38000
25,2025-01-26,Laptop Pro,2,850000
26,2025-05-03,Teclado Mecánico,4,45000
27,2025-12-11,Mouse Inalámbrico,5,15000
28,2025-07-21,Mouse Inalámbrico,4,15000
29,2025-05-05,"Monitor 24""",2,320000
30,2025-09-09,Mouse Inalámbrico,5,15000
31,2025-10-13,Webcam HD,4,38000
32,2025-03-17,Teclado Mecánico,2,45000
33,2025-01-28,"Monitor 24""",1,320000
34,2025-11-06,Laptop Pro,2,850000
35,2025-02-13,"Monitor 24""",5,320000
36,2025-08-17,"Monitor 24""",5,320000
37,2025-01-22,Teclado Mecánico,5,45000
38,2025-05-25,Laptop Pro,5,850000
39,2025-05-14,Teclado Mecánico,1,45000
40,2025-01-24,Mouse Inalámbrico,4,15000
41,2025-03-17,Teclado Mecánico,5,45000
42,2025-11-17,Laptop Pro,3,850000
43,2025-03-12,Webcam HD,2,38000
44,2025-09-01,Mouse Inalámbrico,5,15000
45,2025-08-01,Webcam HD,3,38000
46,2025-05-08,Laptop Pro,3,850000
47,2025-10-03,Laptop Pro,2,850000
48,2025-02-25,Laptop Pro,4,850000
49,2025-03-22,Webcam HD,2,38000
50,2025-03-09,"Monitor 24""",5,320000
51,2025-07-07,Webcam HD,5,38000
52,2025-12-10,Webcam HD,2,38000
53,2025-08-17,"Monitor 24""",3,320000
54,2025-04-08,"Monitor 24""",1,320000
55,2025-01-19,Laptop Pro,3,850000
56,2025-10-08,Webcam HD,2,38000
57,2025-12-21,Laptop Pro,1,850000
58,2025-02-02,Laptop Pro,2,850000
59,2025-09-08,Teclado Mecánico,1,45000
60,2025-04-18,Teclado Mecánico,4,45000
61,2025-10-16,Mouse Inalámbrico,5,15000
62,2025-07-07,Mouse Inalámbrico,4,15000
63,2025-11-14,Laptop Pro,1,850000
64,2025-07-15,Teclado Mecánico,4,45000
65,2025-01-13,Laptop Pro,1,850000
66,2025-04-07,Teclado Mecánico,1,45000
67,2025-08-05,Mouse Inalámbrico,5,15000
68,2025-05-15,"Monitor 24""",2,320000
69,2025-08-26,Mouse Inalámbrico,1,15000
70,2025-01-21,Webcam HD,1,38000
71,2025-02-25,Webcam HD,1,38000
72,2025-07-16,Mouse Inalámbrico,2,15000
73,2025-07-02,"Monitor 24""",2,320000
74,2025-01-13,Mouse Inalámbrico,4,15000
75,2025-05-14,Teclado Mecánico,4,45000
76,2025-03-07,Webcam HD,4,38000
77,2025-01-19,Teclado Mecánico,2,45000
78,2025-12-11,Webcam HD,1,38000
79,2025-10-16,Laptop Pro,1,850000
80,2025-03-02,Webcam HD,5,38000
81,2025-03-03,Webcam HD,1,38000
82,2025-11-28,Webcam HD,1,38000
83,2025-02-19,Mouse Inalámbrico,4,15000
84,2025-10-02,Mouse Inalámbrico,5,15000
85,2025-07-22,Webcam HD,1,38000
86,2025-09-11,Webcam HD,5,38000
87,2025-11-23,Teclado Mecánico,2,45000
88,2025-05-13,Teclado Mecánico,2,45000
89,2025-08-11,Mouse Inalámbrico,3,15000
90,2025-08-20,Laptop Pro,1,850000
91,2025-02-18,Webcam HD,1,38000
92,2025-05-05,Mouse Inalámbrico,5,15000
93,2025-04-12,Teclado Mecánico,1,45000
94,2025-08-27,Teclado Mecánico,2,45000
95,2025-10-26,Webcam HD,3,38000
96,2025-11-27,Webcam HD,1,38000
